#source_current_uA,range_idx,measured_uA,adc_value
-83.168316832,2,-82.492109661,432497
-81.188118812,2,-80.544511299,422282
-79.207920792,2,-78.603876114,412125
-77.227722772,2,-76.656602211,401899
-75.247524752,2,-74.716595116,391733
-73.267326733,2,-72.766687489,381504
-71.287128713,2,-70.825667477,371323
-69.306930693,2,-68.877786427,361118
-67.326732673,2,-66.937254601,350943
-65.346534653,2,-64.995593166,340752
-63.366336634,2,-63.047045345,330535
-61.386138614,2,-61.106031494,320375
-59.405940594,2,-59.157772217,310168
-57.425742574,2,-57.216692104,299972
-55.445544554,2,-55.268518143,289740
-53.465346535,2,-53.327374554,279584
-51.485148515,2,-51.378464584,269365
-49.504950495,2,-49.437326164,259191
-47.524752475,2,-47.489043560,248981
-45.544554455,2,-45.547638874,238798
-43.564356436,2,-43.590498352,228531
-41.584158416,2,-41.648674507,218354
-39.603960396,2,-39.699835777,208153
-37.623762376,2,-37.758414516,197967
-35.643564356,2,-35.808691120,187738
-33.663366337,2,-33.867042370,177557
-31.683168317,2,-31.918299084,167349
-29.702970297,2,-29.976828594,157166
-27.722772277,2,-28.028366890,146951
-25.742574257,2,-26.086634064,136775
-23.762376238,2,-24.138515034,126542
-21.782178218,2,-22.197169113,116368
-19.801980198,2,-20.248629208,106153
-17.821782178,2,-18.307140961,95978
-15.841584158,2,-16.357692032,85767
-13.861386139,2,-14.414256992,75576
-11.881188119,2,-12.473233833,65398
-9.900990099,2,-10.524568272,55178
-7.920792079,2,-8.583460751,45008
-5.940594059,2,-6.633351822,34776
-3.960396040,2,-4.692435341,24584
-1.980198020,2,-2.743618641,14400
0.000000000,2,-0.802543625,4208
1.980198020,2,1.145490336,-6008
3.960396040,2,3.086756449,-16185
5.940594059,2,5.035432281,-26401
7.920792079,2,6.976802311,-36556
9.900990099,2,8.924946976,-46790
11.881188119,2,10.866427193,-56968
13.861386139,2,12.814407043,-67185
15.841584158,2,14.757156525,-77375
17.821782178,2,16.705028324,-87583
19.801980198,2,18.646049900,-97761
21.782178218,2,20.593534679,-107984
23.762376238,2,22.535907803,-118146
25.742574257,2,24.483632851,-128370
27.722772277,2,26.424486809,-138543
29.702970297,2,28.371941986,-148748
31.683168317,2,30.319199448,-158959
33.663366337,2,32.259323177,-169134
35.643564356,2,34.206165867,-179334
37.623762376,2,36.146903839,-189521
39.603960396,2,38.093215637,-199717
41.584158416,2,40.033071556,-209892
43.564356436,2,41.979765110,-220095
45.544554455,2,43.934434052,-230341
47.524752475,2,45.875608540,-240521
49.504950495,2,47.820852718,-250701
51.485148515,2,49.759972286,-260891
